id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,lyrical_theme,sub_mood
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,0.05,love,euphoric
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020,0.80,introspection,contemplative
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010,0.15,rebellion,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020,0.85,introspection,peaceful
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,0.10,empowerment,aggressive
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2020,0.95,introspection,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,42,2000,0.30,love,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2010,0.60,introspection,melancholic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020,0.90,introspection,contemplative
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,60,2020,0.08,love,euphoric
11,Velvet Shadows,Luna Maren,r&b,romantic,0.55,92,0.73,0.70,0.45,68,2020,0.05,love,sensual
12,Concrete Jungle,Raw Syntax,hip-hop,energetic,0.88,140,0.62,0.85,0.08,72,2020,0.10,rebellion,aggressive
13,Autumn Letters,Claire Dusk,classical,sad,0.22,66,0.30,0.25,0.97,25,2010,0.92,loss,melancholic
14,Neon Pulse,DJ Fractal,electronic,energetic,0.95,128,0.72,0.91,0.03,80,2020,0.70,empowerment,euphoric
15,Dusty Boots,Carter Lane,country,nostalgic,0.50,104,0.68,0.63,0.82,35,2000,0.12,storytelling,nostalgic
16,Iron Wake,Shred Theory,metal,angry,0.97,168,0.25,0.55,0.06,40,2010,0.20,rebellion,aggressive
17,Island Breeze,Sol Calma,reggae,relaxed,0.45,96,0.78,0.74,0.60,48,2010,0.15,love,peaceful
18,Echoes of You,Luna Maren,r&b,sad,0.38,70,0.35,0.48,0.52,58,2020,0.08,loss,melancholic
19,Fuego Lento,Rica Voz,latin,romantic,0.72,108,0.80,0.87,0.30,65,2020,0.05,love,sensual
20,Dream Cascade,Orbit Bloom,ambient,dreamy,0.30,56,0.58,0.35,0.94,22,2010,0.97,introspection,dreamy
